NO_x,Student ID,Ages (Years)_x,Gender_x,Grade_x,Speed_C,Number Stroke_C,Mean Pressure_C,Mean Altitude_C,Modulus Altitude_C,Mean Azimuth_C,Modulus Azimuth_C,Label Emotion_x,NO_y,Ages (Years)_y,Gender_y,Grade_y,Speed_B,Number Stroke_B,Mean Pressure_B,Mean Altitude_B,Modulus Altitude_B,Mean Azimuth_B,Modulus Azimuth_B,Label Emotion_y
,,,,,Speed,Number Stroke,Mean Pressure,Mean Altitude,Modulus Altitude,Mean Azimuth,Modulus Azimuth,,,,,,Speed (Detik),Number Stroke,Mean Pressure,Mean Altitude,Modulus Altitude,Mean Azimuth,Modulus Azimuth,
37.0,10122.0,6.916666666666667,Girls,1.0,142,30,699,1358,1400,470,460,positif,37.0,6.916666666666667,Girls,1.0,189,34,602,1335,1320,472,460,positif
38.0,10123.0,6.833333333333333,Girls,1.0,66,11,531,951,880,624,590,positif,38.0,6.833333333333333,Girls,1.0,68,9,490,830,670,655,650,positif
39.0,10124.0,6.916666666666667,Girls,1.0,109,42,581,1029,1030,662,630,positif,39.0,6.916666666666667,Girls,1.0,108,32,596,1172,1160,694,670,positif
40.0,10125.0,6.5,Boys,1.0,132,42,653,921,900,626,630,positif,40.0,6.5,Boys,1.0,127,38,772,919,900,756,750,positif
41.0,10126.0,7.083333333333333,Boys,1.0,112,15,417,787,800,566,520,positif,41.0,7.083333333333333,Boys,1.0,153,33,284,859,930,522,500,positif
42.0,10127.0,6.333333333333333,Girls,1.0,55,29,260,1258,1230,535,530,positif,42.0,6.333333333333333,Girls,1.0,57,28,254,1348,1360,562,560,positif
43.0,10128.0,6.666666666666667,Boys,1.0,118,33,424,908,920,656,630,negatif,43.0,6.666666666666667,Boys,1.0,123,24,337,820,880,627,620,negatif
44.0,10129.0,6.75,Girls,1.0,104,23,663,939,900,640,580,positif,44.0,6.75,Girls,1.0,95,14,668,788,510,608,610,positif
45.0,10130.0,7.166666666666667,Boys,1.0,83,59,319,1067,1030,555,570,positif,45.0,7.166666666666667,Boys,1.0,83,50,174,1290,1330,490,500,positif
46.0,10131.0,7.083333333333333,Boys,1.0,180,42,612,997,900,663,640,negatif,46.0,7.083333333333333,Boys,1.0,134,41,458,971,900,676,640,negatif
47.0,10132.0,6.666666666666667,Boys,1.0,89,37,542,671,740,519,510,negatif,47.0,6.666666666666667,Boys,1.0,81,30,556,757,700,556,530,negatif
48.0,10133.0,8.166666666666666,Girls,2.0,90,15,484,1352,1350,699,6990,positif,48.0,8.166666666666666,Girls,2.0,59,12,367,1487,1480,428,500,positif
49.0,10134.0,7.916666666666667,Girls,2.0,62,17,502,1502,1500,615,600,positif,49.0,7.916666666666667,Girls,2.0,63,13,511,1550,1540,508,470,positif
50.0,10135.0,7.583333333333333,Girls,2.0,54,25,431,624,1250,2200,530,negatif,50.0,7.583333333333333,Girls,2.0,49,12,409,1552,1430,576,580,negatif
51.0,10136.0,8.083333333333334,Girls,2.0,78,26,593,1115,1100,600,580,positif,51.0,8.083333333333334,Girls,2.0,73,19,664,1154,1240,612,640,positif
52.0,10137.0,8.0,Boys,2.0,185,21,585,1467,1340,571,570,negatif,52.0,8.0,Boys,2.0,156,25,522,1473,1630,577,560,negatif
53.0,10138.0,7.666666666666667,Girls,2.0,75,17,573,1054,1070,610,620,negatif,53.0,7.666666666666667,Girls,2.0,75,24,652,988,900,740,760,negatif
54.0,10139.0,7.916666666666667,Girls,2.0,70,17,638,1152,900,7789,810,positif,54.0,7.916666666666667,Girls,2.0,88,18,540,2356,3050,713,790,positif
55.0,10140.0,7.166666666666667,Girls,2.0,92,13,631,1267,1220,682,710,positif,55.0,7.166666666666667,Girls,2.0,81,16,707,1262,1350,714,710,positif
56.0,10141.0,7.916666666666667,Girls,2.0,107,41,432,1261,1160,621,630,positif,56.0,7.916666666666667,Girls,2.0,105,39,479,1225,1200,643,650,positif
57.0,10142.0,8.333333333333334,Boys,2.0,133,19,775,1342,1350,566,550,positif,57.0,8.333333333333334,Boys,2.0,149,22,716,1352,1350,565,550,positif
58.0,10143.0,7.916666666666667,Boys,2.0,94,24,869,1337,1350,648,650,positif,58.0,7.916666666666667,Boys,2.0,103,36,906,1265,1350,698,650,positif
59.0,10144.0,7.916666666666667,Boys,2.0,169,36,411,1637,1570,567,570,positif,59.0,7.916666666666667,Boys,2.0,199,28,488,1756,1160,541,550,positif
60.0,10145.0,8.25,Girls,2.0,146,17,626,850,900,707,670,positif,60.0,8.25,Girls,2.0,95,16,623,856,900,705,720,positif
61.0,10146.0,7.166666666666667,Boys,2.0,164,26,675,1110,1160,687,680,negatif,61.0,7.166666666666667,Boys,2.0,109,25,569,877,900,627,590,negatif
62.0,10147.0,7.833333333333333,Girls,2.0,60,33,500,966,910,529,540,positif,62.0,7.833333333333333,Girls,2.0,85,29,476,1071,900,588,570,positif
63.0,10148.0,8.166666666666666,Girls,2.0,114,18,601,1342,1360,532,470,positif,63.0,8.166666666666666,Girls,2.0,114,17,745,1293,1350,592,550,positif
64.0,10149.0,7.916666666666667,Girls,2.0,168,31,702,1112,900,716,680,positif,64.0,7.916666666666667,Girls,2.0,105,21,793,1439,1350,766,810,positif
65.0,10150.0,7.833333333333333,Girls,2.0,98,24,724,1092,1130,691,710,negatif,65.0,7.833333333333333,Girls,2.0,113,25,696,1159,1230,728,670,negatif
66.0,10151.0,7.833333333333333,Girls,2.0,98,27,563,949,900,612,650,negatif,66.0,7.833333333333333,Girls,2.0,108,25,564,993,970,629,640,negatif
67.0,10152.0,7.583333333333333,Boys,2.0,158,52,691,961,900,616,620,negatif,67.0,7.583333333333333,Boys,2.0,136,36,784,1143,1120,583,550,negatif
68.0,10153.0,8.0,Girls,2.0,213,38,743,916,900,728,720,negatif,68.0,8.0,Girls,2.0,148,43,871,1010,900,682,680,negatif
69.0,10154.0,8.333333333333334,Boys,2.0,100,22,457,961,950,546,530,positif,69.0,8.333333333333334,Boys,2.0,90,22,274,1157,1150,432,430,positif
70.0,10155.0,7.583333333333333,Boys,2.0,157,33,524,1040,1000,560,550,positif,70.0,7.583333333333333,Boys,2.0,152,33,522,1077,1080,580,570,positif
71.0,10156.0,7.666666666666667,Girls,2.0,83,32,598,1666,1620,498,490,positif,71.0,7.666666666666667,Girls,2.0,73,33,578,1507,1530,561,530,positif
72.0,10157.0,8.0,Boys,2.0,87,26,435,1016,950,551,550,positif,72.0,8.0,Boys,2.0,110,22,316,1302,1300,609,600,positif
73.0,10158.0,7.583333333333333,Boys,2.0,128,33,600,1125,1080,690,660,positif,73.0,7.583333333333333,Boys,2.0,111,24,538,1228,1350,710,710,positif
74.0,10159.0,7.75,Girls,2.0,101,29,344,1127,1080,662,640,positif,74.0,7.75,Girls,2.0,77,21,338,1204,1160,718,730,positif
75.0,10160.0,7.333333333333333,Boys,2.0,91,39,242,1138,1130,643,650,positif,75.0,7.333333333333333,Boys,2.0,103,42,275,1285,1270,634,610,positif
76.0,10161.0,6.75,Boys,2.0,183,20,410,1119,900,602,540,positif,76.0,6.75,Boys,2.0,155,26,175,1501,1460,545,520,positif
77.0,10162.0,8.416666666666666,Boys,2.0,198,51,445,857,900,554,530,negatif,77.0,8.416666666666666,Boys,2.0,189,37,432,782,750,584,550,negatif
78.0,10163.0,7.916666666666667,Boys,2.0,80,30,625,774,760,571,560,positif,78.0,7.916666666666667,Boys,2.0,83,22,641,792,870,552,550,positif
79.0,10201.0,7.5,Girls,1.0,103,29,583,1394,1460,564,560,negatif,79.0,7.5,Girls,1.0,90,24,505,1369,1360,550,550,negatif
80.0,10202.0,7.583333333333333,Girls,1.0,59,30,210,1357,1350,455,440,negatif,80.0,7.583333333333333,Girls,1.0,101,30,234,1314,1300,472,450,negatif
81.0,10203.0,6.916666666666667,Girls,1.0,103,45,556,1074,1090,595,590,positif,81.0,6.916666666666667,Girls,1.0,84,35,534,1140,1160,649,640,positif
82.0,10204.0,6.75,Girls,1.0,102,34,495,1029,940,657,630,positif,82.0,6.75,Girls,1.0,67,21,392,1014,1070,628,670,positif
83.0,10205.0,7.0,Girls,1.0,66,54,368,1183,900,843,860,negatif,83.0,7.0,Girls,1.0,109,61,340,1573,1350,834,860,negatif
84.0,10206.0,7.083333333333333,Boys,1.0,145,45,563,1067,1080,627,640,negatif,84.0,7.083333333333333,Boys,1.0,124,20,562,1298,1340,580,580,negatif
85.0,10207.0,7.416666666666667,Boys,1.0,116,64,537,1134,1170,537,530,positif,85.0,7.416666666666667,Boys,1.0,94,38,518,1219,1230,462,460,positif
86.0,10208.0,6.75,Boys,1.0,147,37,593,1195,1220,701,770,positif,86.0,6.75,Boys,1.0,113,25,575,1274,1250,602,600,positif
87.0,10209.0,7.416666666666667,Boys,1.0,98,27,566,752,900,721,750,positif,87.0,7.416666666666667,Boys,1.0,114,41,465,1039,1040,678,700,positif
88.0,10210.0,7.083333333333333,Boys,1.0,143,46,486,1030,1070,581,570,positif,88.0,7.083333333333333,Boys,1.0,109,21,641,1032,1050,628,600,positif
89.0,10211.0,8.083333333333334,Girls,2.0,88,33,422,979,1000,635,600,positif,89.0,8.083333333333334,Girls,2.0,77,19,373,1290,1280,581,530,positif
90.0,10212.0,8.333333333333334,Girls,2.0,66,22,539,1647,1610,509,520,positif,90.0,8.333333333333334,Girls,2.0,60,20,449,1680,1620,481,460,positif
91.0,10213.0,8.166666666666666,Boys,2.0,156,102,98,1274,1270,426,420,negatif,91.0,8.166666666666666,Boys,2.0,156,44,159,1328,1290,429,430,negatif
92.0,10214.0,7.833333333333333,Girls,2.0,127,33,581,1003,1040,627,630,negatif,92.0,7.833333333333333,Girls,2.0,131,22,667,1099,1170,665,690,negatif
93.0,10215.0,8.083333333333334,Girls,2.0,73,20,567,1493,1460,611,600,negatif,93.0,8.083333333333334,Girls,2.0,61,16,476,1187,1230,645,700,negatif
94.0,10216.0,8.666666666666666,Girls,2.0,52,36,581,1130,1160,661,640,positif,94.0,8.666666666666666,Girls,2.0,94,34,619,1564,1480,622,610,positif
95.0,10217.0,7.666666666666667,Boys,2.0,147,36,444,453,470,460,440,positif,95.0,7.666666666666667,Boys,2.0,160,25,546,398,350,483,480,positif
96.0,10218.0,8.166666666666666,Boys,2.0,185,42,589,1041,1000,614,590,positif,96.0,8.166666666666666,Boys,2.0,156,18,412,1632,1710,650,640,positif
97.0,10219.0,7.666666666666667,Girls,2.0,128,36,492,1034,1100,665,630,positif,97.0,7.666666666666667,Girls,2.0,172,62,402,1016,900,704,670,positif
98.0,10220.0,9.0,Girls,2.0,187,44,491,612,580,672,710,,98.0,9.0,Girls,2.0,177,23,556,980,900,545,540,
