Student ID,age,gender,grade,speed_c,number_stroke_c,mean_pressure_c,mean_altitude_c,modulus_altitude_c,mean_azimuth_c,modulus_azimuth_c,speed_b,number_stroke_b,mean_pressure_b,mean_altitude_b,modulus_altitude_b,mean_azimuth_b,modulus_azimuth_b,Label Emotion_y,Fine Motor Skill Label
10156.0,7,1,2,83,32,598,1666,1620,498,490,73,33,578,1507,1530,561,530,positive,
10157.0,8,0,2,87,26,435,1016,950,551,550,110,22,316,1302,1300,609,600,positive,
10158.0,7,0,2,128,33,600,1125,1080,690,660,111,24,538,1228,1350,710,710,positive,
10159.0,7,1,2,101,29,344,1127,1080,662,640,77,21,338,1204,1160,718,730,positive,
10160.0,7,0,2,91,39,242,1138,1130,643,650,103,42,275,1285,1270,634,610,positive,
10161.0,6,0,2,183,20,410,1119,900,602,540,155,26,175,1501,1460,545,520,positive,
10162.0,8,0,2,198,51,445,857,900,554,530,189,37,432,782,750,584,550,negative,
10163.0,7,0,2,80,30,625,774,760,571,560,83,22,641,792,870,552,550,positive,
10201.0,7,1,1,103,29,583,1394,1460,564,560,90,24,505,1369,1360,550,550,negative,
10202.0,7,1,1,59,30,210,1357,1350,455,440,101,30,234,1314,1300,472,450,negative,
10203.0,6,1,1,103,45,556,1074,1090,595,590,84,35,534,1140,1160,649,640,positive,
10204.0,6,1,1,102,34,495,1029,940,657,630,67,21,392,1014,1070,628,670,positive,
10205.0,7,1,1,66,54,368,1183,900,843,860,109,61,340,1573,1350,834,860,negative,
10206.0,7,0,1,145,45,563,1067,1080,627,640,124,20,562,1298,1340,580,580,negative,
10207.0,7,0,1,116,64,537,1134,1170,537,530,94,38,518,1219,1230,462,460,positive,
10208.0,6,0,1,147,37,593,1195,1220,701,770,113,25,575,1274,1250,602,600,positive,
10209.0,7,0,1,98,27,566,752,900,721,750,114,41,465,1039,1040,678,700,positive,
10210.0,7,0,1,143,46,486,1030,1070,581,570,109,21,641,1032,1050,628,600,positive,
10211.0,8,1,2,88,33,422,979,1000,635,600,77,19,373,1290,1280,581,530,positive,
10212.0,8,1,2,66,22,539,1647,1610,509,520,60,20,449,1680,1620,481,460,positive,
10213.0,8,0,2,156,102,98,1274,1270,426,420,156,44,159,1328,1290,429,430,negative,
10214.0,7,1,2,127,33,581,1003,1040,627,630,131,22,667,1099,1170,665,690,negative,
10215.0,8,1,2,73,20,567,1493,1460,611,600,61,16,476,1187,1230,645,700,negative,
10216.0,8,1,2,52,36,581,1130,1160,661,640,94,34,619,1564,1480,622,610,positive,
10217.0,7,0,2,147,36,444,453,470,460,440,160,25,546,398,350,483,480,positive,
10218.0,8,0,2,185,42,589,1041,1000,614,590,156,18,412,1632,1710,650,640,positive,
10219.0,7,1,2,128,36,492,1034,1100,665,630,172,62,402,1016,900,704,670,positive,
10003.0,6,0,1,155,44,302,1160,1220,468,460,116,50,318,1235,1240,501,480,negative,
